Cosnulta: @changes @verbose
Escalafon: 
#1	72	25.414119452024273
#2	71	16.080827503086223
#3	440	14.695553739762508
#4	426	12.571088107522836
#5	98	12.434870600714564
#6	517	12.434870600714564
#7	932	12.434870600714564
#8	968	12.434870600714564
#9	27	12.341822148356279
#10	358	12.328195712306904
#11	26	12.294260901479433
#12	850	12.260512396949853
#13	655	12.173627266770778
#14	348	12.129721938409613
#15	352	12.129721938409613
#16	1240	12.129721938409613
#17	445	12.11419387543194
#18	1043	12.11419387543194
#19	73	12.035846242563757
#20	81	12.022886724101891
#21	143	11.901149123980343
#22	145	11.901149123980343
#23	366	11.901149123980343
#24	573	11.901149123980343
#25	1236	11.901149123980343
#26	278	11.875833625942198
#27	444	11.744674693154016
#28	982	11.744674693154016
#29	1036	11.707731156695269
#30	1098	11.616381201577031
#31	119	11.57423729794725
#32	9	11.538356584360917
#33	547	11.408675879646017
#34	967	11.316178697123087
#35	586	11.031101592012382
#36	162	10.864732329278215
#37	157	10.796448669389369
#38	285	10.616803220535422
#39	1080	10.53168665310352
#40	24	10.487175131374409
#41	387	10.338418640952664
#42	100	10.336696285012623
#43	583	10.317593633683252
#44	99	10.241883897552373
#45	786	10.158027687852938
#46	998	10.14879501703597
#47	783	10.098313835381006
#48	988	10.00717678384194
#49	535	9.699197466452127
#50	95	9.416988748240959
#51	51	8.981447099495139
#52	195	8.0040146318055
#53	196	8.0040146318055
#54	312	7.599898879676015
#55	730	7.304101018816957
